tpm,treatment,tissue
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.612182,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.7524430000000001,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
4.3832900000000015,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
6.11645,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
5.1735,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.76236,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.411462,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
2.30832,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
39.5335,Con/leaf,leaf
38.4973,Con/leaf,leaf
16.4649,Con/leaf,leaf
41.2357,Con/leaf,leaf
43.4905,Con/leaf,leaf
29.6351,Con/leaf,leaf
5.57923,Con/leaf,leaf
36.751,Con/leaf,leaf
1.9294,Con/leaf,leaf
18.3646,Con/leaf,leaf
0.762021,Con/leaf,leaf
36.9642,Con/leaf,leaf
39.7132,Con/leaf,leaf
37.3662,Con/leaf,leaf
5.00845,Con/leaf,leaf
33.3598,Con/leaf,leaf
21.6554,Con/leaf,leaf
55.4002,Con/leaf,leaf
4.45138,Con/leaf,leaf
1.58293,Con/leaf,leaf
3.3181300000000005,Con/leaf,leaf
23.6658,Con/leaf,leaf
42.6067,Con/leaf,leaf
52.6789,Con/leaf,leaf
38.904,Con/leaf,leaf
45.3962,Con/leaf,leaf
2.48838,Con/leaf,leaf
1.6529,Con/leaf,leaf
0.65876,Con/leaf,leaf
20.2658,Con/leaf,leaf
2.19156,Con/leaf,leaf
1.52704,Con/leaf,leaf
23.4374,Con/leaf,leaf
1.69077,Con/leaf,leaf
2.56055,Con/leaf,leaf
61.3943,Fusarium oxysporum/leaf,leaf
10.2291,Fusarium oxysporum/leaf,leaf
31.1655,Fusarium oxysporum/leaf,leaf
55.897,Fusarium oxysporum/leaf,leaf
42.6961,Fusarium oxysporum/leaf,leaf
9.25509,Fusarium oxysporum/leaf,leaf
52.7792,Fusarium oxysporum/leaf,leaf
15.2407,Fusarium oxysporum/leaf,leaf
6.24718,Fusarium oxysporum/leaf,leaf
38.3629,Fusarium oxysporum/leaf,leaf
8.48433,Fusarium oxysporum/leaf,leaf
7.993810000000001,Fusarium oxysporum/leaf,leaf
4.15375,Fusarium oxysporum/leaf,leaf
38.8195,Fusarium oxysporum/leaf,leaf
57.3091,Fusarium oxysporum/leaf,leaf
52.8889,Fusarium oxysporum/leaf,leaf
8.77454,Fusarium oxysporum/leaf,leaf
10.1255,Fusarium oxysporum/leaf,leaf
6.57344,Fusarium oxysporum/leaf,leaf
5.65326,Fusarium oxysporum/leaf,leaf
45.3488,Fusarium oxysporum/leaf,leaf
6.5345900000000015,Fusarium oxysporum/leaf,leaf
43.56,Fusarium oxysporum/leaf,leaf
48.0988,Fusarium oxysporum/leaf,leaf
9.72928,Fusarium oxysporum/leaf,leaf
30.1475,Fusarium oxysporum/leaf,leaf
3.4839800000000003,Fusarium oxysporum/leaf,leaf
6.01246,Fusarium oxysporum/leaf,leaf
46.9294,Fusarium oxysporum/leaf,leaf
22.3221,Fusarium oxysporum/leaf,leaf
71.5524,Fusarium oxysporum/leaf,leaf
6.0039099999999985,Fusarium oxysporum/leaf,leaf
10.5223,Fusarium oxysporum/leaf,leaf
42.1887,Fusarium oxysporum/leaf,leaf
41.3949,Fusarium oxysporum/leaf,leaf
51.3326,Fusarium oxysporum/leaf,leaf
34.1494,Fusarium oxysporum/leaf,leaf
5.01351,Fusarium oxysporum/leaf,leaf
5.41834,Fusarium oxysporum/leaf,leaf
41.1346,Fusarium oxysporum/leaf,leaf
5.79758,Fusarium oxysporum/leaf,leaf
57.1085,Fusarium oxysporum/leaf,leaf
6.17814,Fusarium oxysporum/leaf,leaf
39.6897,Fusarium oxysporum/leaf,leaf
45.0315,Fusarium oxysporum/leaf,leaf
41.1873,Fusarium oxysporum/leaf,leaf
24.2845,Pseudomonas syringae effector_HopAM1/leaf,leaf
69.4692,Pseudomonas syringae effector_HopAM1/leaf,leaf
41.2269,Pseudomonas syringae effector_HopAM1/leaf,leaf
25.2066,Pseudomonas syringae effector_HopAM1/leaf,leaf
20.2077,Pseudomonas syringae effector_HopAM1/leaf,leaf
61.6128,Pseudomonas syringae effector_HopAM1/leaf,leaf
27.0467,Pseudomonas syringae effector_HopAM1/leaf,leaf
51.7316,Pseudomonas syringae effector_HopAM1/leaf,leaf
20.5735,Pseudomonas syringae effector_HopAM1/leaf,leaf
34.6992,Pseudomonas syringae effector_HopAM1/leaf,leaf
35.9766,Pseudomonas syringae effector_HopAM1/leaf,leaf
81.1469,Pseudomonas syringae effector_HopAM1/leaf,leaf
29.1201,Pseudomonas syringae effector_HopAM1/leaf,leaf
73.1964,Pseudomonas syringae effector_HopAM1/leaf,leaf
18.0046,Pseudomonas syringae effector_HopAM1/leaf,leaf
92.9086,Pseudomonas syringae effector_HopAM1/leaf,leaf
20.7524,Pseudomonas syringae effector_HopAM1/leaf,leaf
17.7109,Pseudomonas syringae effector_HopAM1/leaf,leaf
25.8139,Pseudomonas syringae_pv.maculicola/leaf,leaf
23.5888,Pseudomonas syringae_pv.maculicola/leaf,leaf
31.1271,Pseudomonas syringae_pv.maculicola/leaf,leaf
8.079180000000001,Pseudomonas syringae_pv.maculicola/leaf,leaf
24.6668,Pseudomonas syringae_pv.maculicola/leaf,leaf
24.1112,Pseudomonas syringae_pv.maculicola/leaf,leaf
18.2365,Pseudomonas syringae_pv.maculicola/leaf,leaf
17.0724,Pseudomonas syringae_pv.maculicola/leaf,leaf
7.55838,Con/mature leaf,mature leaf
7.25033,Con/mature leaf,mature leaf
3.67342,Con/mature leaf,mature leaf
6.64002,Sclerotinia sclerotiorum/mature leaf,mature leaf
6.6924899999999985,Sclerotinia sclerotiorum/mature leaf,mature leaf
1.04564,Sclerotinia sclerotiorum/mature leaf,mature leaf
28.3835,Con/root,root
26.0706,Con/root,root
26.1635,Con/root,root
28.1307,Plasmodiaphora brassicae/root,root
29.9167,Plasmodiaphora brassicae/root,root
44.1909,Plasmodiaphora brassicae/root,root
34.3392,Verticillium dahliae/root,root
34.3831,Verticillium dahliae/root,root
33.0684,Verticillium dahliae/root,root
